consultado,data_quality_limitation,data_quality_score,fontes,frequencia_temporal,metric_basis,modalidades,orgao,orgao_cnpj,periodo_fim,periodo_inicio,qtd_contratacoes,rank,raw_prefilter_qtd,resultado_zero,sample_engineering_ratio,sample_objetos,ticket_medio,ticket_medio_formula,tipos_obra,uf,valor_semantica,valor_total
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",40 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},MUNICÍPIO DE PAULO LOPES,82892365000132,2026-07-23,2023-07-20,40,11,60,False,0.667,"[""Contratação de empresa especializada, no regime de empreitada por preço unitário (material + mão-de-obra), para execução de obra de PAVIMENTAÇÃO ASFÁLTICA (CBUQ), DRENAGEM E SINALIZAÇÃO DA ESTRADA GER"", ""Contratação de empresa especializada, no regime de empreitada por preço unitário (material + mão-de-obra), para execução de obra de PAVIMENTAÇÃO ASFÁLTICA (CBUQ), DRENAGEM E SINALIZAÇÃO VIÁRIA DA ESTR"", ""Contratação de empresa especializada, no regime de empreitada por preço unitário (material + mão-de-obra), para execução de obra de PAVIMENTAÇÃO ASFÁLTICA (CBUQ), DRENAGEM E SINALIZAÇÃO VIÁRIA DA RUA ""]",360743.77,valor_total / qtd_contratacoes (same semantic as valor_total),"[""pavimentacao""]",SC,CONTRATADO,14429750.75
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",38 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},Diretoria de Obras e Serviços Públicos,82960758000136,2026-07-23,2023-07-20,38,12,57,False,0.667,"[""Contratação de empresa para execução das obras de drenagem, terraplanagem e reforço de subleito de trechos da Av. Afonso Possamai Della e Av. Egídio Tomasi, nos bairros Centro e Bela Vista, no municíp"", ""Contratação de empresa para execução das obras de reconstrução de pavimentação asfáltica, drenagem e contenção da estrada municipal Pinheirinho do Meio, no município de Jacinto Machado/SC (obras e açõ"", ""Contratação de empresa para execução das obras de terraplanagem, reforço de sub-leito e sub-base para futura pavimentação da estrada municipal Água Branca, com extensão de 2,30 km, no município de Jac""]",662488.68,valor_total / qtd_contratacoes (same semantic as valor_total),"[""edificacoes"", ""pavimentacao"", ""terraplenagem""]",SC,CONTRATADO,25174569.68
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",31 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},Prefeitura Municipal de Chapecó,83021808000182,2026-07-23,2023-07-20,31,13,53,False,0.583,"[""AQUISIÇÃO DE TUBOS E GALERIAS DE CONCRETO PARA MANUTENÇÃO DA REDE DE DRENAGEM PLUVIAL DO MUNICÍPIO"", ""CONSTRUÇÃO DE EDIFICAÇÃO DESTINADA AO FUNCIONAMENTO DA CIDADE DO AUTISTA NO MUNICÍPIO DE CHAPECÓ-SC"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PAVIMENTAÇÃO ASFÁLTICA PARA OS TRECHOS DAS RUAS TUPINAMBÁS, HEITOR VILLA LOBOS E DA MARGINAL PLÍNIO ARLINDO DE NÊS, SITUADAS NO MUNICÍPIO DE CHAPECÓ-SC.""]",2425341.14,valor_total / qtd_contratacoes (same semantic as valor_total),"[""drenagem"", ""edificacoes"", ""infraestrutura_urbana"", ""pavimentacao""]",SC,CONTRATADO,75185575.24
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",42 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},PREFEITURA MUNICIPAL DE FORQUILHINHA - SC,81531162000158,2026-07-23,2023-07-20,42,14,50,False,0.833,"[""A presente licitação tem por objetivo a contratação de empresa do ramo pertinente para a implantação da infraestrutura viária com a execução da pavimentação de 1.340,00 metros de extensão, compostas p"", ""A presente licitação tem por objetivo a contratação de empresa do ramo pertinente para a implantação da infraestrutura viária com a execução da pavimentação de 178,52 metros da Rua Joaquim Tomazi, no "", ""A presente licitação tem por objetivo a contratação de empresa especializada em serviços de terraplanagem para as matrículas 17.029, 16.063 e 5.223, totalizando uma área de 15.459,85m², localizadas na""]",1415559.0,valor_total / qtd_contratacoes (same semantic as valor_total),"[""manutencao_predial"", ""pavimentacao"", ""terraplenagem""]",SC,CONTRATADO,59453477.8
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",27 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},SECRETARIA DE ADMINISTRAÇÃO E PLANEJAMENTO,01613120000127,2026-07-23,2023-07-20,27,15,50,False,0.545,"[""A presente Licitação tem por objeto a Aquisição de materiais e contratação de mão-de-obra para execução de Pavimentação asfáltica da Avenida 29 de novembro - Trecho 05 - Estaca 28+2,50m a Estaca 55+9,"", ""Constitui objeto do presente Edital o Credenciamento de pessoa jurídica e pessoa física, para prestação de Serviços de Mão de Obra de Pintor e Eletricista, para manutenção predial em obras de construç"", ""Constitui objeto do presente termo de inexigibilidade a contratação de prestador de serviços de Mão de Obra de Eletricista para manutenção predial em obras de construção/recuperação/reconstrução/refor""]",102959.31,valor_total / qtd_contratacoes (same semantic as valor_total),"[""manutencao_predial"", ""pavimentacao""]",SC,CONTRATADO,2779901.25
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",31 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},Sombrio,82963216000117,2026-07-23,2023-07-20,31,16,47,False,0.667,"[""O objeto da presente dispensa é a prestação de serviços de projeto de implementação de pavimentação da Av. Luiz Carlos Coelho, nos bairros Januária e Guarita, no âmbito do município de Sombrio-SC, con"", ""O objeto da presente dispensa é o serviço de reforma e pavimentação da praça da Associação de Moradores Nova Brasília, no município de Sombrio/SC, conforme condições, quantidades e exigências estabele"", ""O objeto da presente licitação é a eventual contratação de serviços execução de pavimentação asfáltica com CBUQ de Ruas e Rodovias Municipais, no município de Sombrio/SC, conforme condições, quantidad""]",1038227.05,valor_total / qtd_contratacoes (same semantic as valor_total),"[""pavimentacao""]",SC,CONTRATADO,32185038.42
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",26 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},PREFEITURA MUNICIPAL DE ITAJAÍ - SC,83102277000152,2026-07-23,2023-07-20,26,17,45,False,0.583,"[""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO RAMO DA ENGENHARIA PARA A EXECUÇÃO DE SERVIÇO COMUM DE ENGENHARIA REFERENTE À PAVIMENTAÇÃO ASFÁLTICA NAS RUAS MARCOS ALBINO, LOCALIZADA NO BAIRRO BAIA, E RODOLP"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA COMUM, PARA MANUTENÇÃO PREDIAL, PEQUENOS REPAROS E MELHORIAS, PARA AS UNIDADES ESCOLARES DA REDE MUNICIPAL DE ENSINO DE "", ""CONTRATAÇÃO DE EMPRESA PARA A EXECUÇÃO DE OBRA DE ENGENHARIA COMUM, PARA A CONSTRUÇÃO DO MIRANTE DO MORRO DA CRUZ, LOCALIZADO NA RUA ANTÔNIO DE MENEZES VASCONCELOS DE DRUMONT, SN, BAIRRO FAZENDA, ITAJ""]",2033580.01,valor_total / qtd_contratacoes (same semantic as valor_total),"[""drenagem"", ""manutencao_predial"", ""obras_civis"", ""pavimentacao""]",SC,CONTRATADO,52873080.3
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",26 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},EMASA - Empresa Municipal de Água e Saneamento de Balneário Camboriú,07854402000100,2026-07-23,2023-07-20,26,18,45,False,0.583,"[""AQUISIÇÃO DE 02 (DOIS) AERADORES FLUTUANTES A SEREM UTILIZADOS NA ESTAÇÃO DE TRATAMENTO DE ESGOTO DA EMASA, CONFORME PROCESSO 118.745/2025."", ""AQUISIÇÃO DE AMOSTRADOR DE LODO PARA OS LABORATÓRIOS DA ESTAÇÃO DE TRATAMENTO DE ESGOTO (ETE) DA EMASA. CONFORME PROCESSO 129737/2026."", ""AQUISIÇÃO DE ANEL RASPADOR PARA A PRENSA PARAFUSO DESTINADA A DESIDRATAÇÃO DO LODO PROVENIENTE DA ESTAÇÃO DE TRATAMENTO DE ESGOTO DA EMPRESA MUNICIPAL DE ÁGUA E SANEAMENTO DE BALNEÁRIO CAMBORIÚ – SC,C""]",1664720.16,valor_total / qtd_contratacoes (same semantic as valor_total),"[""saneamento""]",SC,CONTRATADO,43282724.11
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",37 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},PREFEITURA MUNICIPAL DE SÃO JOÃO BATISTA,82925652000100,2026-07-23,2023-07-20,37,19,44,False,0.833,"[""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA A EXECUÇÃO/CONSTRUÇÃO DE DUAS SALAS DE AULA NA ESCOLA ALICE DA SILVA GOMES, CENTRO, MUNICÍPIO DE SÃO JOÃO BATISTA, SC, CONFO"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA A EXECUÇÃO DE DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E SINALIZAÇÃO VIÁRIA DAS RUAS BERNARDINO FONTES, JOSÉ RAFAEL BOOZ E OSVALDO A"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA A EXECUÇÃO DE DUAS CABECEIRAS EM CONCRETO ARMADO, EXECUTADAS COMO INFRAESTRUTURA/APOIO PARA RECEBER A SUPERESTRUTURA (KIT DE""]",938725.62,valor_total / qtd_contratacoes (same semantic as valor_total),"[""obras_civis""]",SC,CONTRATADO,34732847.77
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",32 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},MUNICÍPIO DE TUBARÃO,82928656000133,2026-07-23,2023-07-20,32,20,43,False,0.75,"[""Constitui o objeto do presente instrumento o REGISTRO DE PREÇO para a eventual AQUISIÇÃO DE SERVIÇOS RELACIONADOS AS ATIVIDADES DE MANUTENÇÃO PREDIAL (CORRETIVA, PREVENTIVA E PREDITIVA, conforme quant"", ""Contratação de empresa especializada para a execução de obras de pavimentação em lajotas, drenagem pluvial e sinalização viária de um trecho de 01 (um) quilômetro da Rua Nicolau Manoel da Silva, local"", ""Contratação de empresa especializada para a execução de obras de  pavimentação em lajotas, drenagem pluvial e sinalização viária nas Ruas Alfredo Bernardini e Peter Steinheuser de Jesus, localizadas n""]",587964.14,valor_total / qtd_contratacoes (same semantic as valor_total),"[""manutencao_predial"", ""pavimentacao""]",SC,CONTRATADO,18814852.56
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",27 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},"Departamento de Planejamento, Desenvolvimento Urbanos e Indústria e Comércio",83102830000157,2026-07-23,2023-07-20,27,21,40,False,0.667,"[""Contratação da empresa SIQUEIRA MAIS BRASIL LTDA para prestação de serviços de pavimentação comunitária, a pavimentação busca melhorar a mobilidade urbana, proporcionar segurança aos pedestres e condu"", ""Contratação da empresa SIQUEIRA MAIS BRASIL LTDA para prestação de serviços de pavimentação comunitária que busca melhorar a mobilidade urbana, proporcionar segurança aos pedestres e motoristas, eleva"", ""Contratação de empresa especializada para elaboração de projetos básicos e executivos de engenharia destinados à pavimentação de vias urbanas e rurais no Município de Barra Velha/SC, incluindo levanta""]",145711.98,valor_total / qtd_contratacoes (same semantic as valor_total),"[""pavimentacao"", ""terraplenagem""]",SC,CONTRATADO,3934223.41
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",29 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},SEOB - Secretaria de Obras de Pomerode,83102251000104,2026-07-23,2023-07-20,29,22,39,False,0.75,"[""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE PAVIMENTAÇÃO ASFÁLTICA DA RUA ARNOLDO HARDT E RUA RAULINA BAUER, NO BAIRRO REGA II DO MUNICÍPIO DE POMERODE, COM FORNECIMENTO DE MATERIAIS"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA DA RUA DOS ATIRADORES - TRECHO 07, BAIRRO TESTO CENTRAL, POMERODE/SC, ATRAVÉS DE RECURSOS DA TRANSFERÊNCIA VOLUNTÁRIA ESPEC"", ""CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA DAS RUAS IDA HACKBARTH, HEINZ KIEKHOEFEL, WERNER STRELOW E ERIGERT JANDRE, POMERODE/SC, COM FORNECIMENTO DE MATERIAIS, EQUI""]",753078.91,valor_total / qtd_contratacoes (same semantic as valor_total),"[""infraestrutura_urbana"", ""pavimentacao"", ""terraplenagem""]",SC,CONTRATADO,21839288.29
True,data_quality_score=0.85 < 1.0 — ranking may over-represent entes with richer source data; not a pure market measure,0.85,"[""pncp_supplier_contracts"", ""isolated_snapshot"", ""engineering_reclassified""]",20 eventos no período (2023-07-20..2026-07-23),engineering_reclassified_samples,{},PREFEITURA MUNICIPAL DE MELEIRO - SC,82837741000196,2026-07-23,2023-07-20,20,23,39,False,0.5,"[""Aquisição de equipamentos (motores elétricos, componentes e ferragens) incluindo a prestação de serviços para a instalação e religação dos motores da Usina de Pavimentação Asfáltica do município de Me"", ""Aquisição de materiais e mão de obra para a execução de serviços de instalação de pavimentação em paver e meio-fio, visando a modernização e melhoria das condições da Central Municipal de Segurança Pú"", ""Contratação de caminhão caçamba (14 m³) para o transporte de materiais com finalidade de aplicação nas estradas vicinais visando à preparação para a execução de pavimentação asfáltica, conforme determ""]",304691.58,valor_total / qtd_contratacoes (same semantic as valor_total),"[""infraestrutura_urbana"", ""obras_civis"", ""pavimentacao"", ""terraplenagem""]",SC,CONTRATADO,6093831.66
